M5Epoch: 12, Loss: 3.5269155502319336 
M5Epoch: 13, Loss: 3.4638619422912598 
M5Epoch: 14, Loss: 3.3684897422790527 
M5Epoch: 15, Loss: 3.3409459590911865 
M5Epoch: 16, Loss: 3.2119624614715576 
M5Epoch: 17, Loss: 3.188249349594116 
M5Epoch: 18, Loss: 3.174933433532715 
M5Epoch: 19, Loss: 3.1032466888427734 
M5Epoch: 20, Loss: 3.0565803050994873 
M5Epoch: 21, Loss: 2.998690128326416 
M5Epoch: 22, Loss: 2.965381622314453 
M5Epoch: 23, Loss: 2.9618470668792725 
M5Epoch: 24, Loss: 2.894176721572876 
M5Epoch: 25, Loss: 2.898172378540039 
M5Epoch: 26, Loss: 2.8345704078674316 
M5Epoch: 27, Loss: 2.847543239593506 
M5Epoch: 28, Loss: 2.8041787147521973 
M5Epoch: 29, Loss: 2.8111989498138428 
